,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0,aaon,inc,engaged,engineering,manufacturing,marketing,sale,air,conditioning,heating,equipment,consisting,standard,semi,custom,rooftop,units,chillers,packaged,outdoor,mechanical,rooms,handling,makeup,energy,recovery,condensing,geothermal,water,source,heat,pumps,coils,products,serve,commercial,industrial,new,construction,replacement,markets,unit,consist,installed,structures,less,stories,height,self,contained,applicable,sizes,buildings,market,consists,replace,existing,components,worn,damaged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,aal,american,airlines,group,inc,holding,company,primary,business,activity,operation,network,air,carrier,providing,scheduled,transportation,passengers,cargo,operates,segment,provides,division,range,freight,mail,services,facilities,interline,connections,available,across,globe,together,regional,airline,subsidiaries,third,party,carriers,operating,eagle,operated,average,nearly,flights,per,day,destinations,countries,principally,hubs,charlotte,chicago,dallas,fort,worth,los,angeles,miami,new,york,philadelphia,phoenix,washington,district,columbia,december,fiscal,year,ended,approximately,million,boarded,mainline,,,,,,,,,,,,,,,,
2,aaww,atlas,air,worldwide,holdings,inc,holding,company,provides,outsourced,aircraft,aviation,operating,services,throughout,world,serving,africa,asia,australia,europe,middle,east,north,america,south,contractual,service,arrangements,including,customers,value,added,crew,maintenance,insurance,acmi,well,cmi,cargo,passenger,charter,dry,leasing,engines,segments,include,operates,fleet,freighters,range,domestic,regional,international,applications,subsidiaries,southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,aapl,apple,inc,designs,manufactures,markets,mobile,communication,media,devices,personal,computers,portable,digital,music,players,company,sells,range,related,software,services,accessories,networking,solutions,third,party,content,applications,segments,include,americas,europe,greater,china,japan,rest,asia,pacific,segment,includes,north,south,america,european,countries,india,middle,east,africa,hong,kong,taiwan,australia,asian,included,operating,products,iphone,ipad,mac,ipod,watch,tv,portfolio,consumer,professional,os,ios,x,watchos,systems,icloud,pay,accessory,service,support,offerings,,,,,,,,,,,,,
4,abcb,ameris,bancorp,financial,holding,company,business,conducted,banking,subsidiary,bank,provides,range,services,retail,commercial,customers,operates,four,segments,division,mortgage,warehouse,lending,sba,engaged,delivery,include,loans,consumer,deposit,accounts,origination,sales,servicing,one,family,residential,lines,businesses,secured,underlying,small,administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,abio,arca,biopharma,inc,biopharmaceutical,company,principally,focused,developing,genetically,targeted,therapies,cardiovascular,diseases,lead,product,candidate,gencaro,bucindolol,hydrochloride,beta,blocker,mild,vasodilator,evaluating,clinical,trial,treatment,atrial,fibrillation,af,patients,heart,failure,reduced,left,ventricular,ejection,fraction,hfref,considered,part,class,compounds,property,blocking,receptors,prevents,receptor,binding,molecules,primarily,neurotransmitter,norepinephrine,ne,activate,conducting,phase,iib,iii,known,genetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,abdc,alcentra,capital,corporation,specialty,finance,company,operates,non,diversified,closed,end,management,investment,business,development,regulated,provides,customized,debt,equity,financing,solutions,lower,middle,market,companies,annual,earnings,interest,taxes,depreciation,amortization,million,revenues,investments,range,size,objective,generate,current,income,appreciation,primarily,making,direct,form,senior,unitranche,second,lien,subordinated,lesser,extent,minority,focus,make,loans,selected,privately,held,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,abmd,abiomed,inc,provider,temporary,percutaneous,mechanical,circulatory,support,devices,company,offers,care,heart,failure,patients,operates,segment,research,development,sale,medical,assist,replace,pumping,function,failing,develops,manufactures,markets,products,designed,enable,rest,heal,recover,improving,blood,flow,coronary,arteries,end,organs,temporarily,performing,product,portfolio,includes,impella,cp,rp,ld,ab,used,cardiac,catheterization,lab,cath,interventional,cardiologists,electrophysiology,hybrid,surgery,suite,surgeons,,,,,,,,,,,,,,,,,,,,,,,,,,
8,acad,acadia,pharmaceuticals,inc,biopharmaceutical,company,focused,development,commercialization,medicines,central,nervous,system,cns,disorders,lead,drug,candidate,nuplazid,pimavanserin,used,treatment,hallucinations,delusions,associated,parkinson,disease,psychosis,pd,selective,serotonin,inverse,agonist,ssia,preferentially,targeting,ht,receptors,conducting,phase,ii,trial,referred,serene,study,designed,examine,efficacy,safety,alzheimer,ad,agitation,also,iii,six,week,randomized,double,blind,placebo,controlled,multi,center,outpatient,enhance,use,patients,schizophrenia,,,,,,,,,,,,,,,,,,,,,,,
9,acgl,arch,capital,group,ltd,provides,insurance,reinsurance,mortgage,company,range,property,casualty,lines,operates,five,segments,corporate,segment,product,include,construction,national,accounts,excess,surplus,lenders,products,professional,programs,energy,marine,aviation,travel,accident,health,specialty,catastrophe,excluding,includes,results,designated,activity,providers,services,united,states,european,markets,watford,holdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
